ANGLE | ANGLE_BIN |    SIN_FLOAT |  Q2.8_DEC |   Q2.8_BIN
  275 | 100010011 |  -0.99619470 |      -255 | 1100000001
  276 | 100010100 |  -0.99452190 |      -255 | 1100000001
  277 | 100010101 |  -0.99254615 |      -254 | 1100000010
  278 | 100010110 |  -0.99026807 |      -254 | 1100000010
  279 | 100010111 |  -0.98768834 |      -253 | 1100000011
  280 | 100011000 |  -0.98480775 |      -252 | 1100000100
  281 | 100011001 |  -0.98162718 |      -251 | 1100000101
  282 | 100011010 |  -0.97814760 |      -250 | 1100000110
  283 | 100011011 |  -0.97437006 |      -249 | 1100000111
  284 | 100011100 |  -0.97029573 |      -248 | 1100001000
  285 | 100011101 |  -0.96592583 |      -247 | 1100001001
  286 | 100011110 |  -0.96126170 |      -246 | 1100001010
  287 | 100011111 |  -0.95630476 |      -245 | 1100001011
  288 | 100100000 |  -0.95105652 |      -243 | 1100001101
  289 | 100100001 |  -0.94551858 |      -242 | 1100001110
  290 | 100100010 |  -0.93969262 |      -241 | 1100001111
  291 | 100100011 |  -0.93358043 |      -239 | 1100010001
  292 | 100100100 |  -0.92718385 |      -237 | 1100010011
  293 | 100100101 |  -0.92050485 |      -236 | 1100010100
  294 | 100100110 |  -0.91354546 |      -234 | 1100010110
  295 | 100100111 |  -0.90630779 |      -232 | 1100011000
  296 | 100101000 |  -0.89879405 |      -230 | 1100011010
  297 | 100101001 |  -0.89100652 |      -228 | 1100011100
  298 | 100101010 |  -0.88294759 |      -226 | 1100011110
  299 | 100101011 |  -0.87461971 |      -224 | 1100100000
  300 | 100101100 |  -0.86602540 |      -222 | 1100100010
  301 | 100101101 |  -0.85716730 |      -219 | 1100100101
  302 | 100101110 |  -0.84804810 |      -217 | 1100100111
  303 | 100101111 |  -0.83867057 |      -215 | 1100101001
  304 | 100110000 |  -0.82903757 |      -212 | 1100101100
  305 | 100110001 |  -0.81915204 |      -210 | 1100101110
  306 | 100110010 |  -0.80901699 |      -207 | 1100110001
  307 | 100110011 |  -0.79863551 |      -204 | 1100110100
  308 | 100110100 |  -0.78801075 |      -202 | 1100110110
  309 | 100110101 |  -0.77714596 |      -199 | 1100111001
  310 | 100110110 |  -0.76604444 |      -196 | 1100111100
  311 | 100110111 |  -0.75470958 |      -193 | 1100111111
  312 | 100111000 |  -0.74314483 |      -190 | 1101000010
  313 | 100111001 |  -0.73135370 |      -187 | 1101000101
  314 | 100111010 |  -0.71933980 |      -184 | 1101001000
  315 | 100111011 |  -0.70710678 |      -181 | 1101001011
  316 | 100111100 |  -0.69465837 |      -178 | 1101001110
  317 | 100111101 |  -0.68199836 |      -175 | 1101010001
  318 | 100111110 |  -0.66913061 |      -171 | 1101010101
  319 | 100111111 |  -0.65605903 |      -168 | 1101011000
  320 | 101000000 |  -0.64278761 |      -165 | 1101011011
  321 | 101000001 |  -0.62932039 |      -161 | 1101011111
  322 | 101000010 |  -0.61566148 |      -158 | 1101100010
  323 | 101000011 |  -0.60181502 |      -154 | 1101100110
  324 | 101000100 |  -0.58778525 |      -150 | 1101101010
  325 | 101000101 |  -0.57357644 |      -147 | 1101101101
  326 | 101000110 |  -0.55919290 |      -143 | 1101110001
  327 | 101000111 |  -0.54463904 |      -139 | 1101110101
  328 | 101001000 |  -0.52991926 |      -136 | 1101111000
  329 | 101001001 |  -0.51503807 |      -132 | 1101111100
  330 | 101001010 |  -0.50000000 |      -128 | 1110000000
  331 | 101001011 |  -0.48480962 |      -124 | 1110000100
  332 | 101001100 |  -0.46947156 |      -120 | 1110001000
  333 | 101001101 |  -0.45399050 |      -116 | 1110001100
  334 | 101001110 |  -0.43837115 |      -112 | 1110010000
  335 | 101001111 |  -0.42261826 |      -108 | 1110010100
  336 | 101010000 |  -0.40673664 |      -104 | 1110011000
  337 | 101010001 |  -0.39073113 |      -100 | 1110011100
  338 | 101010010 |  -0.37460659 |       -96 | 1110100000
  339 | 101010011 |  -0.35836795 |       -92 | 1110100100
  340 | 101010100 |  -0.34202014 |       -88 | 1110101000
  341 | 101010101 |  -0.32556815 |       -83 | 1110101101
  342 | 101010110 |  -0.30901699 |       -79 | 1110110001
  343 | 101010111 |  -0.29237170 |       -75 | 1110110101
  344 | 101011000 |  -0.27563736 |       -71 | 1110111001
  345 | 101011001 |  -0.25881905 |       -66 | 1110111110
  346 | 101011010 |  -0.24192190 |       -62 | 1111000010
  347 | 101011011 |  -0.22495105 |       -58 | 1111000110
  348 | 101011100 |  -0.20791169 |       -53 | 1111001011
  349 | 101011101 |  -0.19080900 |       -49 | 1111001111
  350 | 101011110 |  -0.17364818 |       -44 | 1111010100
  351 | 101011111 |  -0.15643447 |       -40 | 1111011000
  352 | 101100000 |  -0.13917310 |       -36 | 1111011100
  353 | 101100001 |  -0.12186934 |       -31 | 1111100001
  354 | 101100010 |  -0.10452846 |       -27 | 1111100101
  355 | 101100011 |  -0.08715574 |       -22 | 1111101010
  356 | 101100100 |  -0.06975647 |       -18 | 1111101110
  357 | 101100101 |  -0.05233596 |       -13 | 1111110011
  358 | 101100110 |  -0.03489950 |        -9 | 1111110111
  359 | 101100111 |  -0.01745241 |        -4 | 1111111100
